OrganisationId,Consumption,ConsumptionDate,Year,Month,EssCustomerID,MaxResolution,Estimated
162608,506.03,2022-04-01,2022,4,1316663,true,true
162608,308.81,2022-05-01,2022,5,1316663,true,true
162608,258.59,2022-06-01,2022,6,1316663,true,true
162608,238.31,2022-07-01,2022,7,1316663,true,true
162608,240,2022-08-01,2022,8,1316663,true,true
162608,284,2022-09-01,2022,9,1316663,true,true
162608,318.6,2022-10-01,2022,10,1316663,true,true
162608,450.31,2022-11-01,2022,11,1316663,true,true
162608,512.43,2022-12-01,2022,12,1316663,true,true
162608,508.08,2023-01-01,2023,1,1316663,true,true
162608,516.31,2023-02-01,2023,2,1316663,true,true
162608,480.35,2023-03-01,2023,3,1316663,true,true

